Date,Title,Authors,Country,Journal,Publisher,DOI,Link,Google Scholar,Keywords,Open Access,Summary,Research Area,Rating,Notes
2026-07-23,"Fiber Bragg grating-based acoustic sensing system enabled by ML-trained, sub-picometer-tunable hybrid III-V/SiN lasers",Authors listed on the arXiv record (not retrieved in restricted-network run; auto-filled by the pipeline when run with open network access),,arXiv (preprint),arXiv,10.48550/arXiv.2606.26306,https://arxiv.org/abs/2606.26306,https://scholar.google.com/scholar?q=Fiber+Bragg+grating-based+acoustic+sensing+ML-trained+sub-picometer-tunable+hybrid+III-V%2FSiN+lasers,Fiber Bragg Grating; Acoustic emission sensing; Hybrid III-V/SiN laser; Machine learning calibration; Structural health monitoring; Photonic sensing,Yes (preprint),"This preprint tackles a persistent bottleneck in acoustic-emission (AE) monitoring: conventional piezoelectric transducers are hard to multiplex over large structures, while fiber-optic AE schemes have been held back by interrogation complexity and limited wavelength resolution. The authors interrogate a fiber Bragg grating with a hybrid III-V/silicon-nitride (SiN) integrated laser whose linewi...",Fiber Bragg Grating (FBG),★★★★★,Preprint. Author/affiliation metadata to be auto-enriched by the pipeline in an open-network run.
2026-07-23,Distributed Acoustic Sensing for Urban Monitoring: Coverage Thresholds and Percolation,Authors listed on the arXiv record (not retrieved in restricted-network run; auto-filled by the pipeline when run with open network access),,arXiv (preprint),arXiv,10.48550/arXiv.2606.17018,https://arxiv.org/abs/2606.17018,https://scholar.google.com/scholar?q=Distributed+Acoustic+Sensing+for+Urban+Monitoring+Coverage+Thresholds+and+Percolation,Distributed Acoustic Sensing; Urban monitoring; Percolation; Seismic array; Dark fiber; Coverage optimisation,Yes (preprint),"This preprint reframes city-scale DAS as a network-coverage problem and asks a deceptively simple question: how much of a city's fiber must be instrumented before different monitoring tasks become feasible? By treating buried telecom fiber as a spatial sensing graph, the authors identify task-dependent coverage thresholds. Strikingly, they show that even sparse coverage below 10% — if the instr...",Distributed Acoustic Sensing (DAS),★★★★☆,Preprint. Author/affiliation metadata to be auto-enriched by the pipeline in an open-network run.
2026-07-23,A deep learning framework for marine acoustic and seismic monitoring with distributed acoustic sensing,Authors listed on the arXiv record (not retrieved in restricted-network run; auto-filled by the pipeline when run with open network access),,arXiv (preprint),arXiv,10.48550/arXiv.2603.14844,https://arxiv.org/abs/2603.14844,https://scholar.google.com/scholar?q=deep+learning+framework+marine+acoustic+seismic+monitoring+distributed+acoustic+sensing+DASNet,Distributed Acoustic Sensing; Deep learning; Marine monitoring; Seismic detection; SeaFOAM; Signal classification,Yes (preprint),"DAS turns a single seafloor cable into thousands of strain channels, but the resulting data deluge — continuous strain over tens of kilometres — has outpaced manual interpretation. This preprint introduces DASNet, an end-to-end deep-learning framework that automates the three tasks that gate any monitoring pipeline: detecting events, classifying their type, and picking arrival times. The system...",Distributed Acoustic Sensing (DAS),★★★★☆,Preprint. Author/affiliation metadata to be auto-enriched by the pipeline in an open-network run.
2026-07-23,"Intelligent Distributed Optical Fiber Sensing in Transportation Infrastructures: Research Progress, Applications, and Challenges",Authors listed on the arXiv record (not retrieved in restricted-network run; auto-filled by the pipeline when run with open network access),,arXiv (preprint),arXiv,10.48550/arXiv.2601.13891,https://arxiv.org/abs/2601.13891,https://scholar.google.com/scholar?q=Intelligent+Distributed+Optical+Fiber+Sensing+in+Transportation+Infrastructures+Research+Progress+Applications+Challenges,Distributed Fiber Optic Sensing; Structural Health Monitoring; Transportation infrastructure; Review; Machine learning; Bridges and rail,Yes (preprint),"This review consolidates a fast-moving field: the use of distributed optical fiber sensing (DOFS) — Brillouin, Rayleigh/OFDR and DAS-type techniques — to monitor the long, linear structures that transportation depends on. Its organising insight is that highways, long-span bridges, rail networks and airport runways share a geometry that plays directly to DOFS strengths: kilometre-scale, continuo...",Distributed Fiber Optic Sensing (DFOS),★★★★☆,Preprint review article. Author/affiliation metadata to be auto-enriched by the pipeline in an open-network run.
2026-07-23,Photonic Links for Spin-Based Quantum Sensors,Authors listed on the arXiv record (not retrieved in restricted-network run; auto-filled by the pipeline when run with open network access),,arXiv (preprint),arXiv,10.48550/arXiv.2601.22011,https://arxiv.org/abs/2601.22011,https://scholar.google.com/scholar?q=Photonic+Links+for+Spin-Based+Quantum+Sensors+RF-over-fiber+NV+centers,Quantum sensing; Spin qubits; RF-over-fiber; NV centers; ODMR; Photonic links,Yes (preprint),"Spin-based quantum sensors — most prominently nitrogen-vacancy (NV) centres in diamond — deliver exquisite magnetic, electric and thermal sensitivity, but scaling and integrating them is hampered by how their spins are controlled: conventional setups deliver microwaves over bulky coax and antennas that are hard to route, isolate and multiply. This preprint proposes carrying that control signal ...",Quantum Fiber Sensors,★★★★☆,Preprint. Author/affiliation metadata to be auto-enriched by the pipeline in an open-network run.
2026-07-23,In-series Multimode Interference Sensors and Fabry-Perot Interferometers for Enhanced Wavelength Shift Resolving Capabilities,Authors listed on the arXiv record (not retrieved in restricted-network run; auto-filled by the pipeline when run with open network access),,arXiv (preprint),arXiv,10.48550/arXiv.2512.06305,https://arxiv.org/abs/2512.06305,https://scholar.google.com/scholar?q=In-series+Multimode+Interference+Sensors+Fabry-Perot+Interferometers+Enhanced+Wavelength+Shift+Resolving,Multimode interference; Fabry-Perot interferometer; Fiber sensor; Wavelength interrogation; Vernier effect; Resolution enhancement,Yes (preprint),"Interferometric fiber sensors ultimately convert a measurand (temperature, strain, refractive index) into a wavelength shift that an interrogator must resolve, so any scheme that magnifies that shift for the same physical perturbation is valuable. This preprint cascades two classic elements in series — a multimode interference (MMI) sensor and a Fabry-Perot interferometer (FPI) — so that their ...",Interferometric Fiber Sensors,★★★☆☆,Preprint. Author/affiliation metadata to be auto-enriched by the pipeline in an open-network run.
2026-07-24,Distributed Acoustic Localization Array Deployed Using a Soft Everting Vine Robot,"Sebastian Lorca Godoy, Ciera McFarland, Michael Val, Antonio Alvarez Valdivia, Nathaniel Hanson, Margaret McGuinness",,arXiv (preprint),arXiv,10.48550/arXiv.2607.20392,http://arxiv.org/abs/2607.20392v1,https://scholar.google.com/scholar?q=Distributed+Acoustic+Localization+Array+Deployed+Using+a+Soft+Everting+Vine+Robot,cs.RO,Yes (preprint),"This paper embeds a distributed acoustic sensing (DAS) array along the body of a soft, everting 'vine' robot to localise disaster victims by the sounds they make in confined, unstructured rubble. Because the robot grows and reshapes as it advances, its sensing array is not a fixed geometry — so the authors adapt a Steered Response Power with Phase Transform (SRP-PHAT) beamformer to a dynamic ar...",Distributed Acoustic Sensing (DAS),★★★★☆,Preprint. Analyst-completed bilingual analysis (grounded in the arXiv abstract).
2026-07-24,Cyclic-Prefix-Free OFDM With Tail-Reuse Reconstruction for Distributed Acoustic Sensing,"Ziang Chen, Zhiyang Xue, Zhongxing Tian, Zeyu Feng, Dongdong Zou, Yi Cai, Huan Huang",,arXiv (preprint),arXiv,10.48550/arXiv.2607.18687,http://arxiv.org/abs/2607.18687v1,https://scholar.google.com/scholar?q=Cyclic-Prefix-Free+OFDM+With+Tail-Reuse+Reconstruction+for+Distributed+Acoustic+Sensing,eess.SP; physics.optics,Yes (preprint),"In coherent DAS, OFDM probing lets you reconstruct the distributed Rayleigh backscatter channel in the frequency domain, but the cyclic prefix (CP) that OFDM normally requires lengthens the probe period and lowers the slow-time Nyquist limit — capping how fast each range cell can be sampled. This paper proposes a repeated CP-free OFDM waveform in which the tail of the previous useful block acts...",Distributed Acoustic Sensing (DAS),★★★★☆,Preprint. Analyst-completed bilingual analysis (grounded in the arXiv abstract).
2026-07-24,Broadband Multi-Aperture Passive Scholte-Wave Imaging Using Seabed Distributed Acoustic Sensing,"Anna Titova, Andrey Bakulin",,arXiv (preprint),arXiv,10.48550/arXiv.2607.16157,http://arxiv.org/abs/2607.16157v1,https://scholar.google.com/scholar?q=Broadband+Multi-Aperture+Passive+Scholte-Wave+Imaging+Using+Seabed+Distributed+Acoustic+Sensing,physics.geo-ph,Yes (preprint),"This work turns a 51-km seabed DAS cable on the Texas Gulf Coast into a passive shear-wave imaging instrument by exploiting the broadband Scholte-wave illumination that shallow-water ocean forcing naturally provides. Instead of active sources, it processes the ambient uncorrelated wavefield directly, using long-duration frequency–wavenumber stacking and a multi-aperture strategy that keeps high...",Distributed Acoustic Sensing (DAS),★★★★☆,Preprint. Analyst-completed bilingual analysis (grounded in the arXiv abstract).
2026-07-24,Sub-microsecond conformational dynamics in an optical nanocavity,"Heehun Sung, Sam C Scholten, Pavlina Sasheva, Igor Marinkovic, Warwick P Bowen",,arXiv (preprint),arXiv,10.48550/arXiv.2607.15925,http://arxiv.org/abs/2607.15925v1,https://scholar.google.com/scholar?q=Sub-microsecond+conformational+dynamics+in+an+optical+nanocavity,physics.optics; cond-mat.mes-hall; physics.app-ph,Yes (preprint),"This is a standout result: a fibre-integrated silicon-photonic sensor that resolves the conformational (shape-changing) dynamics of single, unlabelled proteins at sub-microsecond timescales, continuously and over minutes. Microsecond conformational changes drive much of protein function, but until now they could only be seen by ensemble averaging, and single-molecule attempts were defeated by i...",Photonic / Silicon-Photonics Sensors,★★★★★,Preprint. Analyst-completed bilingual analysis (grounded in the arXiv abstract).
